name,case,death,recovered,population,code
USA,110428077,1191639,108109693,334805269,USA
India,45020333,533409,0,1406631776,IND
France,40138560,167642,39970918,65584518,FRA
Germany,38788696,180875,38240600,83883596,DEU
Brazil,38210864,708638,36249161,215353593,BRA
S. Korea,34571873,35934,34535939,51329899,KOR
Japan,33803572,74694,0,125584838,JPN
Italy,26671165,195139,26257742,60262770,ITA
UK,24812582,232112,24580470,68497907,GBR
Russia,23798457,401543,23198668,145805947,RUS
Turkey,17232066,102174,0,85561976,TUR
Spain,13914811,121760,13762417,46719142,ESP
Australia,11765039,23881,0,26068792,AUS
Vietnam,11624114,43206,10640971,98953541,VNM
Taiwan,10241523,19005,10222518,23888595,TWN
Argentina,10080046,130685,9949361,46010234,ARG
Netherlands,8623210,22992,8597059,17211447,NLD
Mexico,7702731,334947,6899865,131562772,MEX
Iran,7625463,146757,0,86022837,IRN
Indonesia,6821940,161954,6647104,279134505,IDN
Poland,6643818,120352,0,37739785,POL
Colombia,6387632,143113,6206196,51512762,COL
Greece,6101379,37869,0,10316637,GRC
Austria,6081287,22542,6054934,9066710,AUT
Portugal,5637114,27853,5608188,10140570,PRT
Ukraine,5557995,112418,5445577,43192122,UKR
Chile,5335745,64497,5252450,19250195,CHL
Malaysia,5244578,37315,5182800,33181072,MYS
Canada,4891249,57274,4788110,38388419,CAN
Belgium,4851453,34376,4802510,11668278,BEL
Israel,4841772,12707,4798473,9326000,ISR
DPRK,4772813,74,4772739,25990679,PRK
Thailand,4763039,34521,4692636,70078203,THA
Czechia,4752678,43423,4700880,10736784,CZE
Peru,4524326,222161,4302165,33684208,PER
Switzerland,4441768,14452,4423717,8773637,CHE
Philippines,4140383,66864,4067381,112508994,PHL
South Africa,4076463,102595,3912506,60756135,ZAF
Romania,3514894,68754,3441500,19031335,ROU
Denmark,3183756,8814,3174942,5834950,DNK
Sweden,2745098,26433,2716235,10218971,SWE
Serbia,2609964,18057,2586780,8653016,SRB
New Zealand,2554013,5337,2543814,4898203,NZL
Iraq,2465545,25375,2439497,42164965,IRQ
Hungary,2223831,48917,2152155,9606259,HUN
Bangladesh,2046256,29477,0,167885689,BGD
Slovakia,1873332,21186,1852146,5460193,SVK
